mainform;variation;count;details
fuck;fuck, fucking, fucked, fuckin', fuckin, fuckent, fucke, fuck', fucké, fuckeus, fuckerais, fuckées, fuckons, fu-cke, fu-ckeus, fuckerz, fuckeur, fuckeuses, fuckais;2970;fuck (2673), fucking (113), fucked (113), fuckin' (32), fuckin (16), fuckent (6), fucke (3), fuck' (2), fucké (2), fuckeus (1), fuckerais (1), fuckées (1), fuckons (1), fu-cke (1), fu-ckeus (1), fuckerz (1), fuckeur (1), fuckeuses (1), fuckais (1)
flow;flow, flows;3041;flow (2641), flows (400)
mc;mc, emcee, emcees, emcee's, emc's;1628;mc (1555), emcee (37), emcees (25), emcee's (9), emc's (2)
mic;mic, mic', mics;1481;mic (1162), mic' (285), mics (34)
street;street, streets, streetzer, street'zer, te-stree, street-zer, streetz, te-stre, teu-stree;1260;street (1187), streets (21), streetzer (16), street'zer (16), te-stree (14), street-zer (3), streetz (1), te-stre (1), teu-stree (1)
beat;beat, beats, beatz, beatzz, beaté;1363;beat (1137), beats (209), beatz (15), beatzz (1), beaté (1)
big;big, bigs, big's, big';923;big (914), bigs (7), big's (1), big' (1)
bad;bad;659;
life;life, lifes, life's;744;life (716), lifes (26), life's (2)
bitch;bitch, biatch, bitches, bitchs, biatchs, bitchies, biatches, bitchiz, bitche, bitch', bitcheeeeez, bitchees, bitchess, bitchez, bitcher;2235;bitch (1338), biatch (267), bitches (245), bitchs (220), biatchs (81), bitchies (55), biatches (11), bitchiz (7), bitche (4), bitch' (2), bitcheeeeez (1), bitchees (1), bitchess (1), bitchez (1), bitcher (1)
checke;checke, checker, checkent, checké, checkes, checkez, tchecker, tcheker, cheker, tchek', chekent, checkin, checkin', checkées, tchekent;143;checke (46), checker (37), checkent (17), checké (13), checkes (8), checkez (6), tchecker (4), tcheker (4), cheker (2), tchek' (1), chekent (1), checkin (1), checkin' (1), checkées (1), tchekent (1)
cool;cool, cools;931;cool (882), cools (49)
moula;moula, mula, moulaga, mulah, moulah, moulaya;361;moula (271), mula (80), moulaga (7), mulah (1), moulah (1), moulaya (1)
belek;belek, bellek, beleck, belleck, bellec, belec, bellick, belek', belekk;572;belek (359), bellek (115), beleck (57), belleck (30), bellec (4), belec (3), bellick (2), belek' (1), belekk (1)
biz;biz, biz', bizz, buis', bizz', buiss', biz-biz, biz's;956;biz (595), biz' (209), bizz (109), buis' (29), bizz' (8), buiss' (3), biz-biz (2), biz's (1)
bicrave;bicrave, bicravent, bicraveur, bicraveurs, bicraves, bicravais, bicravait, bicrav, bibi', bicraver, bi-bicrave, bicrav', bikrav, bicravaient, bicravant, re-bicrave, rebibi, bicravera, bicraverais, bicraverait, bicraveront, bicravez, rebicrave, bikravant, bikrave, bikraveur;855;bicrave (642), bicravent (55), bicraveur (44), bicraveurs (31), bicraves (28), bicravais (9), bicravait (8), bicrav (7), bibi' (5), bicraver (4), bi-bicrave (3), bicrav' (2), bikrav (2), bicravaient (2), bicravant (2), re-bicrave (1), rebibi (1), bicravera (1), bicraverais (1), bicraverait (1), bicraveront (1), bicravez (1), rebicrave (1), bikravant (1), bikrave (1), bikraveur (1)
gun;gun, guns;734;gun (526), guns (208)
kho;kho, khos, khoya, khouya, kho', khoyas, khouyas, kholoto, kholotos, khoroto, kholot, khorotos, kholotte, khoo, kho's, kho-kho, kholo, khosss, khoro, khoy', khoys;684;kho (274), khos (193), khoya (101), khouya (60), kho' (9), khoyas (8), khouyas (8), kholoto (8), kholotos (7), khoroto (3), kholot (2), khorotos (2), kholotte (1), khoo (1), kho's (1), kho-kho (1), kholo (1), khosss (1), khoro (1), khoy' (1), khoys (1)
crew;crew, crews;729;crew (675), crews (54)
feat;feat, featuring, feats, feat', featurings, feater, feature, featé, feate, featent, featais;823;feat (483), featuring (154), feats (83), feat' (49), featurings (26), feater (19), feature (3), featé (3), feate (1), featent (1), featais (1)
bendo;bendo, bando, bend', bendos;401;bendo (296), bando (101), bend' (3), bendos (1)
khey;khey, kheys, rhey, kheyou, kheye, rheyou, rheyous, rheys, kheyes, kheiye, kheyous, kheyo, kheyyo, kheyos, kheyene, rheyo, rheytos;485;khey (341), kheys (79), rhey (19), kheyou (7), kheye (5), rheyou (5), rheyous (5), rheys (5), kheyes (5), kheiye (4), kheyous (3), kheyo (2), kheyyo (1), kheyos (1), kheyene (1), rheyo (1), rheytos (1)
flex;flex, flex', flexer, flexera;265;flex (262), flex' (1), flexer (1), flexera (1)
die;die, dies, dieront;396;die (393), dies (2), dieront (1)
bédo;bédo, bédos, bedo, bédot, bedos, bédots, bé-do, bédo', be-do, bedo', bedots;603;bédo (448), bédos (77), bedo (49), bédot (10), bedos (7), bédots (4), bé-do (3), bédo' (2), be-do (1), bedo' (1), bedots (1)
tah;tah, tah', tahh, tahhh;457;tah (453), tah' (2), tahh (1), tahhh (1)
squad;squad, squa, squa', squaad, squade;364;squad (303), squa (26), squa' (25), squaad (9), squade (1)
khaliss;khaliss, khalis, rhalis, khalisse, kha-khaliss, khaaliss;254;khaliss (166), khalis (82), rhalis (3), khalisse (1), kha-khaliss (1), khaaliss (1)
sheitan;sheitan, sheïtan, sheitana, sheytan, shaytan, tan-shei, sheitane, shetan, sheitanise, sheitanisées, shettan, sheitaneries, sheitanisé, sheiytana, sheïtana, sheïtane, sheytane, sheytans, shaytana, shaytane, shaytans, shaïtan, tan-shey, tan-sheï;518;sheitan (398), sheïtan (46), sheitana (20), sheytan (18), shaytan (7), tan-shei (4), sheitane (3), shetan (3), sheitanise (2), sheitanisées (2), shettan (2), sheitaneries (1), sheitanisé (1), sheiytana (1), sheïtana (1), sheïtane (1), sheytane (1), sheytans (1), shaytana (1), shaytane (1), shaytans (1), shaïtan (1), tan-shey (1), tan-sheï (1)
hood;hood, hoods;330;hood (324), hoods (6)
wallah;wallah, wallaye, wallahy, walay, wallahi, walaye, wallahye, wouallah, walai;385;wallah (305), wallaye (56), wallahy (7), walay (7), wallahi (4), walaye (3), wallahye (1), wouallah (1), walai (1)
high;high, highs;270;high (266), highs (4)
poucave;poucave, poucaves, poukave, poukaves, poucavent, poucav, poucav', poukav, poucavs, poukavent, pouckave, poucavaient, poucaver, poucaverie, poucaveries, poukavs, poukavé, poucaverai;478;poucave (214), poucaves (165), poukave (33), poukaves (25), poucavent (9), poucav (8), poucav' (7), poukav (5), poucavs (2), poukavent (2), pouckave (1), poucavaient (1), poucaver (1), poucaverie (1), poucaveries (1), poukavs (1), poukavé (1), poucaverai (1)
like;like, likes, liké, likent, likez, likerai;253;like (180), likes (61), liké (7), likent (3), likez (1), likerai (1)
vibe;vibe, vibes, viber, vibent;337;vibe (208), vibes (126), viber (2), vibent (1)
fly;fly, flyance, flyant, flyest;321;fly (317), flyance (2), flyant (1), flyest (1)
schneck;schneck, schnek, shnek, shneck, schneks, chnek, shneks, shnecks, chneck, schnek'zer, schneckzer, shnek'zer, schneiks, schneik, schnèk, schneckes, chneks, chnèque, schneck'zer, chneckzer;367;schneck (101), schnek (94), shnek (44), shneck (44), schneks (28), chnek (19), shneks (13), shnecks (8), chneck (2), schnek'zer (2), schneckzer (2), shnek'zer (2), schneiks (1), schneik (1), schnèk (1), schneckes (1), chneks (1), chnèque (1), schneck'zer (1), chneckzer (1)
chill;chill, chiller, chille, chillent, chillance, chillé, chillant, chilles, chillax, chill', chillera, chilleur, chilleurs, chillettes, tchiller, chillais;326;chill (202), chiller (63), chille (26), chillent (6), chillance (6), chillé (5), chillant (5), chilles (3), chillax (2), chill' (2), chillera (1), chilleur (1), chilleurs (1), chillettes (1), tchiller (1), chillais (1)
track;track, tracks, trackz;450;track (347), tracks (102), trackz (1)
kill;kill, killer, killah, killeur, killés, killent, killé, killaz, killeurs, killa', kill', killes, killeuse, killeuz;484;kill (282), killer (157), killah (15), killeur (8), killés (4), killent (4), killé (3), killaz (2), killeurs (2), killa' (2), kill' (2), killes (1), killeuse (1), killeuz (1)
loca;loca, loco, locos, locas;293;loca (163), loco (72), locos (54), locas (4)
salam;salam, salaam, as-salam, salam', asalam, as-salâm;307;salam (281), salaam (18), as-salam (4), salam' (2), asalam (1), as-salâm (1)
homie;homie, homies;239;homie (134), homies (105)
motherfucker;motherfucker, motherfuck, motherfucking, motherfuck', motherfuckers, mothafucka, motherfuckin', motherfucka, mothafuck, mothafuckin', motherfuckin, mothafuck', mothafucker, mothafuckin, motherfucks, motherfuckas, mother'fucking, mothafuckaaa, mothafuckas, mothafuckers, mothafucking, mothahfuck, mothefucker, mother'fucker, motherfucka';241;motherfucker (93), motherfuck (43), motherfucking (17), motherfuck' (13), motherfuckers (13), mothafucka (11), motherfuckin' (10), motherfucka (7), mothafuck (6), mothafuckin' (4), motherfuckin (4), mothafuck' (3), mothafucker (3), mothafuckin (2), motherfucks (2), motherfuckas (1), mother'fucking (1), mothafuckaaa (1), mothafuckas (1), mothafuckers (1), mothafucking (1), mothahfuck (1), mothefucker (1), mother'fucker (1), motherfucka' (1)
gow;gow, gows, go', go's, go'zer, go-ow;252;gow (135), gows (55), go' (50), go's (10), go'zer (1), go-ow (1)
shtar;shtar, shtars, chtars, chtar, schtar, chtars', chtards, chtah, schtards, shtah, chtard, chtar's, shtar's, chta, chtar', schtar', schtard;402;shtar (131), shtars (114), chtars (64), chtar (60), schtar (8), chtars' (5), chtards (4), chtah (3), schtards (3), shtah (2), chtard (2), chtar's (1), shtar's (1), chta (1), chtar' (1), schtar' (1), schtard (1)
swag;swag, swagg, swaggé, swagga, swaggés, swag'zer, swaag, swaggeurs, swaga, swaggée, swaggées, swaggué, swagé, swagy, swagance, swaguer;307;swag (213), swagg (63), swaggé (14), swagga (3), swaggés (2), swag'zer (2), swaag (1), swaggeurs (1), swaga (1), swaggée (1), swaggées (1), swaggué (1), swagé (1), swagy (1), swagance (1), swaguer (1)
amigo;amigo, amigos;136;amigo (111), amigos (25)
bougs;bougs, boug, bougzers, boug', bougzer, boug'zer, boug-zer, bougs', boug'z, boug'zers, bougs'zer, bougz, bougz', bougzere;302;bougs (151), boug (114), bougzers (7), boug' (7), bougzer (6), boug'zer (6), boug-zer (3), bougs' (2), boug'z (1), boug'zers (1), bougs'zer (1), bougz (1), bougz' (1), bougzere (1)
chicos;chicos, chico, chica, chicas, tchika, tchico, chicco, tchikas, tchicos;221;chicos (79), chico (67), chica (53), chicas (13), tchika (4), tchico (2), chicco (1), tchikas (1), tchicos (1)
bédave;bédave, bédaves, bédavent, bedave, bédaveur, bédaveurs, bédavais, bédaver, bédav, bédavait, bedav, bédav', bédavera, bedaver, bedaves, bedaveur;410;bédave (337), bédaves (17), bédavent (16), bedave (13), bédaveur (5), bédaveurs (5), bédavais (3), bédaver (3), bédav (2), bédavait (2), bedav (2), bédav' (1), bédavera (1), bedaver (1), bedaves (1), bedaveur (1)
shlags;shlags, shlag, schlags, schlag, shlagues, shlague, shlagg, shlaggs, shlaguito, schlaggs, schlagg, schlaggués, chlags, schlagués, shlagués, shlagés, shlagueuses, shlago, shlagance, shlagito, shlagoss', shlaga;325;shlags (90), shlag (74), schlags (65), schlag (53), shlagues (14), shlague (6), shlagg (4), shlaggs (3), shlaguito (2), schlaggs (2), schlagg (1), schlaggués (1), chlags (1), schlagués (1), shlagués (1), shlagés (1), shlagueuses (1), shlago (1), shlagance (1), shlagito (1), shlagoss' (1), shlaga (1)
blunt;blunt, blunts;260;blunt (224), blunts (36)
follow;follow, followers, followent, follower, followe, followeuses;224;follow (172), followers (44), followent (4), follower (2), followe (1), followeuses (1)
faya;faya, fayas;238;faya (230), fayas (8)
smoke;smoke, smoker, smokent, smokin', smokin, smokes, smoké, smokeur, smokeurs;255;smoke (200), smoker (24), smokent (12), smokin' (4), smokin (4), smokes (4), smoké (3), smokeur (3), smokeurs (1)
best;best, bests;280;best (260), bests (20)
wacks;wacks, wack, wak, whack, whacks, wacka, wack's, wackers, wackettes;284;wacks (165), wack (103), wak (5), whack (3), whacks (2), wacka (2), wack's (2), wackers (1), wackettes (1)
schmits;schmits, shmits, schmitt, schmit, shmitts, shmitt, schmeta, schmet, anti-schmits, shmit, shmeta, schmets, schmidts, shmiture, anti-schmit, schmiture, schmetas, shmetas, shmettas, shmidts, schmétas, chmetah, chméta, shmidt, shmites, schmit', shmets, shmett, shmet, schmidture, schmittée, shmitture, schmitards, chmet, chmétas, anti-schmitt;258;schmits (79), shmits (35), schmitt (22), schmit (22), shmitts (21), shmitt (7), schmeta (5), schmet (5), anti-schmits (5), shmit (5), shmeta (5), schmets (4), schmidts (4), shmiture (4), anti-schmit (4), schmiture (3), schmetas (3), shmetas (2), shmettas (2), shmidts (2), schmétas (2), chmetah (2), chméta (2), shmidt (1), shmites (1), schmit' (1), shmets (1), shmett (1), shmet (1), schmidture (1), schmittée (1), shmitture (1), schmitards (1), chmet (1), chmétas (1), anti-schmitt (1)
pélo;pélo, pelo, pélos, pelos, pelot;222;pélo (115), pelo (64), pélos (32), pelos (10), pelot (1)
tchoin;tchoin, tchoins, tshoin, tshoins, choine, choines, tschoin, choin;252;tchoin (130), tchoins (92), tshoin (12), tshoins (9), choine (4), choines (3), tschoin (1), choin (1)
battle;battle, battles;178;battle (124), battles (54)
hess;hess, hass, lahess, hess', hass', lahass, larhess;615;hess (405), hass (195), lahess (8), hess' (4), hass' (1), lahass (1), larhess (1)
jump;jump, jumper, jumpin', jumping, jumpent, jump';115;jump (76), jumper (32), jumpin' (2), jumping (2), jumpent (2), jump' (1)
fake;fake, fakes;189;fake (131), fakes (58)
hagar;hagar, hagra, hagars, hagras, hagrah, hagar', haggra;258;hagar (129), hagra (111), hagars (7), hagras (4), hagrah (4), hagar' (2), haggra (1)
lyrical;lyrical, lyricale, lyricalement, lyricales, lyricaux, lyricals, lyrilycal, lyrical'ment, lyrikal;236;lyrical (120), lyricale (47), lyricalement (39), lyricales (17), lyricaux (7), lyricals (3), lyrilycal (1), lyrical'ment (1), lyrikal (1)
shab;shab, srabs, sahbi, shabs, shrab, srab, shrabs, srhab, srhabs, shabi, sahb, sahbs, sahrbi, sahab, srahbs;227;shab (49), srabs (39), sahbi (33), shabs (32), shrab (30), srab (22), shrabs (11), srhab (3), srhabs (2), shabi (1), sahb (1), sahbs (1), sahrbi (1), sahab (1), srahbs (1)
akhi;akhi, akhis, akhy, akhé, akhey;153;akhi (145), akhis (3), akhy (3), akhé (1), akhey (1)
twerk;twerk, twerker, twerke, twerkent, twerkes, twerks, twerkin, twerkais, twerkant, twerké, twerkeuse, twerkiez;148;twerk (66), twerker (33), twerke (29), twerkent (8), twerkes (3), twerks (3), twerkin (1), twerkais (1), twerkant (1), twerké (1), twerkeuse (1), twerkiez (1)
sip;sip, sippin', sip', sippin, sipp', sippe, sippent, sipp'in, sipper, sipin, sipin', sippeurs, sipant, sippais;129;sip (72), sippin' (20), sip' (15), sippin (6), sipp' (5), sippe (2), sippent (2), sipp'in (1), sipper (1), sipin (1), sipin' (1), sippeurs (1), sipant (1), sippais (1)
inch'allah;inch'allah, inchallah, insh'allah, inshallah, incha'allah, insha'allah, inshaallah, inchaallah, inchalah, inchalla;181;inch'allah (114), inchallah (26), insh'allah (14), inshallah (12), incha'allah (6), insha'allah (4), inshaallah (2), inchaallah (1), inchalah (1), inchalla (1)
punchline;punchline, punchliner, punchlineur, punch-line, punch-lignes, punchliners;211;punchline (191), punchliner (12), punchlineur (5), punch-line (1), punch-lignes (1), punchliners (1)
story;story, story's, storie;160;story (156), story's (2), storie (2)
bro;bro, bros, brother, brothers, bro', brotha, brotherz, bro's;132;bro (53), bros (24), brother (21), brothers (15), bro' (14), brotha (2), brotherz (2), bro's (1)
fight;fight, fighter;162;fight (145), fighter (17)
drip;drip;41;
move;move, mové, moov, movin', mooves, movez, movez', moovés, movin;97;move (78), mové (4), moov (4), movin' (3), mooves (2), movez (2), movez' (2), moovés (1), movin (1)
level;level, levels;149;level (148), levels (1)
gadji;gadji, gadjo, gadjis, gadjos, gadgi, gadgis, gadjies, gadgo, gardjo;170;gadji (69), gadjo (35), gadjis (34), gadjos (26), gadgi (2), gadgis (1), gadjies (1), gadgo (1), gardjo (1)
muerte;muerte, muerta, muertos, muerto;80;muerte (75), muerta (3), muertos (1), muerto (1)
racli;racli, raclis, raclos, raclo, raclots, raclie, racli', raclies, raclises, racllis, racl', raclo';238;racli (110), raclis (52), raclos (38), raclo (25), raclots (6), raclie (1), racli' (1), raclies (1), raclises (1), racllis (1), racl' (1), raclo' (1)
cops;cops, cops';127;cops (124), cops' (3)
dinero;dinero, dineros;81;dinero (45), dineros (36)
nada;nada;137;
falsh;falsh, falsch, falche, falches, falch, falshs, falsh', falschs, falsher;112;falsh (34), falsch (27), falche (19), falches (11), falch (9), falshs (9), falsh' (1), falschs (1), falsher (1)
stone;stone, stoned, stonarisé;120;stone (118), stoned (1), stonarisé (1)
fuego;fuego;58;
niaks;niaks, niak, niac, niak's, niakh, niacks, niaxx, niack, niaks', niak', niakhs, niax', niac', niacs;159;niaks (117), niak (19), niac (4), niak's (3), niakh (3), niacks (3), niaxx (2), niack (2), niaks' (1), niak' (1), niakhs (1), niax' (1), niac' (1), niacs (1)
haram;haram, haramistes, haramifié, haramis;140;haram (134), haramistes (4), haramifié (1), haramis (1)
puta;puta, puto, putas, putos;139;puta (79), puto (31), putas (16), putos (13)
loose;loose, looser, lose, loser, loosé, loos', loosés, loses;124;loose (44), looser (28), lose (26), loser (22), loosé (1), loos' (1), loosés (1), loses (1)
diez;diez, dieze, diezes, djézer, djéssi;144;diez (137), dieze (3), diezes (2), djézer (1), djéssi (1)
hamdoullah;hamdoullah, hamdoulah, hamdoulilah, hamdullah, hamdoulillah, hamdou', hamdulillah, hamdulilah, hamdou, alhamdulillah, hamdoullilah, al-hamdoulillah, hamdoula, hamdoulaah, hamdoulila, hamdullilah, alhamdoulilah, al-hamdoulilah;112;hamdoullah (42), hamdoulah (22), hamdoulilah (10), hamdullah (9), hamdoulillah (8), hamdou' (5), hamdulillah (3), hamdulilah (2), hamdou (2), alhamdulillah (1), hamdoullilah (1), al-hamdoulillah (1), hamdoula (1), hamdoulaah (1), hamdoulila (1), hamdullilah (1), alhamdoulilah (1), al-hamdoulilah (1)
khabat;khabat, khabats, khabate, khabatt, khabbate;139;khabat (131), khabats (5), khabate (1), khabatt (1), khabbate (1)
goddamn;goddamn, gaddamn, godamn, gadamn, gaddam, gadem, gaddamn', gaddemn;107;goddamn (56), gaddamn (36), godamn (4), gadamn (4), gaddam (4), gadem (1), gaddamn' (1), gaddemn (1)
aka;aka;141;
dark;dark, darks;150;dark (147), darks (3)
